code,name,price,change,cap,sector
000080,하이트진로,"29,050",0.51,"2,037,381,399,550",음식료품
081660,휠라홀딩스,"33,300",4.06,"2,023,048,992,600",유통업
011780,금호석유,"66,200",0.3,"2,016,961,144,200",화학
003490,대한항공,"20,900",6.63,"1,982,252,850,600",운수창고업
030000,제일기획,"16,950",3.35,"1,949,948,763,750",서비스업
007310,오뚜기,"536,000",0.19,"1,932,407,032,000",음식료품
006360,GS건설,"23,700",0.85,"1,898,317,954,800",건설업
011790,SKC,"50,200",7.84,"1,884,234,661,000",화학
020150,일진머티리얼즈,"40,650",6.14,"1,874,405,442,750",전기전자
008560,메리츠증권,"3,015",5.42,"1,861,191,763,515",금융업
008930,한미사이언스,"28,050",1.26,"1,851,612,729,450",금융업
003000,부광약품,"27,650",6.9,"1,792,770,091,700",의약품
042660,대우조선해양,"16,600",0.3,"1,779,615,483,200",운수장비
004370,농심,"288,500",1.03,"1,754,842,217,000",음식료품
028670,팬오션,"3,260",4.15,"1,742,695,614,820",운수창고업
006280,녹십자,"148,500",2.94,"1,735,450,893,000",의약품
017800,현대엘리베이,"63,600",1.85,"1,729,877,642,400",기계
026960,동서,"16,650",0.91,"1,660,005,000,000",유통업
047050,포스코인터내셔널,"13,250",3.11,"1,634,720,724,250",유통업
088350,한화생명,"1,815",10,"1,576,381,950,000",금융업
138930,BNK금융지주,"4,800",2.45,"1,564,489,180,800",금융업
069960,현대백화점,"65,900",3.78,"1,542,220,861,900",유통업
009240,한샘,"63,800",2.74,"1,501,464,606,400",유통업
031430,신세계인터내셔날,"206,000",5.1,"1,470,840,000,000",유통업
051600,한전KPS,"31,800",1.92,"1,431,000,000,000",건설업
004800,효성,"66,800",0.15,"1,407,544,470,000",금융업
047040,대우건설,"3,355",1.82,"1,394,413,950,490",건설업
000880,한화,"18,350",1.94,"1,375,492,787,250",화학
009420,한올바이오파마,"25,150",0.4,"1,313,852,045,700",의약품
002380,KCC,"144,000",1.05,"1,279,651,824,000",화학
294870,HDC현대산업개발,"18,850",3.29,"1,242,353,170,500",건설업
001740,SK네트웍스,"5,000",2.04,"1,240,938,235,000",유통업
214320,이노션,"62,000",7.83,"1,240,000,000,000",서비스업
010620,현대미포조선,"30,750",2.33,"1,228,221,081,750",운수장비
069620,대웅제약,"104,500",3.69,"1,210,797,087,500",의약품
204320,만도,"25,300",4.12,"1,188,015,136,000",운수장비
064350,현대로템,"13,950",1.76,"1,185,750,000,000",운수장비
012450,한화에어로스페이스,"23,150",2.66,"1,172,084,500,000",운수장비
010120,LS ELECTRIC,"38,650",1.84,"1,159,500,000,000",전기전자
006260,LS,"34,450",2.38,"1,109,290,000,000",금융업
000990,DB하이텍,"24,050",1.05,"1,067,786,041,400",전기전자
111770,영원무역,"23,500",1.73,"1,041,319,498,000",유통업
005250,녹십자홀딩스,"21,250",0,"999,349,462,500",서비스업
014680,한솔케미칼,"87,700",7.87,"990,588,601,500",화학
185750,종근당,"90,900",1.3,"989,508,766,500",의약품
161890,한국콜마,"43,200",2.86,"988,466,976,000",화학
034020,두산중공업,"3,820",2.28,"966,997,771,960",기계
114090,GKL,"15,500",0.65,"958,762,885,000",서비스업
011210,현대위아,"35,150",0.86,"955,907,167,450",운수장비
073240,금호타이어,"3,295",3.62,"946,522,645,665",화학
010060,OCI,"39,550",2.59,"943,242,623,050",화학
000670,영풍,"508,000",0.79,"935,756,320,000",철강금속
285130,SK케미칼,"79,300",1.12,"931,092,702,800",화학
003520,영진약품,"5,010",1.93,"916,292,582,310",의약품
000240,한국테크놀로지그룹,"9,740",1.67,"906,016,485,020",금융업
001800,오리온홀딩스,"14,350",0,"898,961,805,700",금융업
042670,두산인프라코어,"4,225",2.76,"879,481,403,775",기계
004000,롯데정밀화학,"33,600",2.13,"866,880,000,000",화학
192820,코스맥스,"85,400",0.23,"858,228,068,600",화학
003240,태광산업,"756,000",1.2,"841,730,400,000",화학
120110,코오롱인더,"30,300",0,"817,458,852,000",화학
005300,롯데칠성,"99,700",0.81,"796,947,962,000",음식료품
057050,현대홈쇼핑,"63,900",5.27,"766,800,000,000",유통업
010780,아이에스동서,"24,200",1.26,"747,601,065,200",비금속광물
170900,동아에스티,"87,700",3.3,"740,527,223,600",의약품
005440,현대그린푸드,"7,400",1.79,"723,013,166,800",유통업
018250,애경산업,"26,850",1.9,"709,106,754,750",화학
006650,대한유화,"107,000",2.73,"695,500,000,000",화학
049770,동원F&B,"180,000",2.56,"694,642,320,000",음식료품
069260,휴켐스,"16,850",6.31,"688,804,207,800",화학
001680,대상,"19,450",0.51,"673,904,086,250",음식료품
005850,에스엘,"13,650",0.37,"657,974,731,050",운수장비
007570,일양약품,"34,350",3.78,"655,592,558,400",의약품
093370,후성,"6,950",4.51,"643,617,392,050",화학
052690,한전기술,"16,800",0.3,"642,096,000,000",서비스업
008060,대덕전자,"8,150",1.88,"635,756,821,800",전기전자
000150,두산,"38,100",1.6,"629,558,113,500",서비스업
115390,락앤락,"11,600",1.75,"628,564,560,000",화학
192400,쿠쿠홀딩스,"88,300",0.11,"628,028,187,100",금융업
005610,SPC삼립,"72,700",0,"627,328,954,300",음식료품
001060,JW중외제약,"29,450",0.86,"616,095,590,300",의약품
002350,넥센타이어,"6,060",1.34,"591,867,334,620",화학
003850,보령제약,"12,800",0.39,"565,760,000,000",의약품
020000,한섬,"22,650",4.14,"557,869,500,000",섬유의복
014820,동원시스템즈,"21,700",0.91,"555,921,688,700",화학
000640,동아쏘시오홀딩스,"89,900",1.12,"551,832,900,300",금융업
103140,풍산,"19,450",4.29,"545,072,207,100",철강금속
005180,빙그레,"54,200",1.88,"533,937,262,200",음식료품
012630,HDC,"8,900",0.68,"531,701,316,900",금융업
071840,롯데하이마트,"21,900",0.23,"517,008,892,800",유통업
064960,S&T모티브,"35,050",8.18,"512,540,916,800",운수장비
079550,LIG넥스원,"23,250",1.97,"511,500,000,000",기계
006390,한일현대시멘트,"30,000",4.31,"504,638,700,000",비금속광물
079160,CJ CGV,"23,700",3.72,"501,523,118,100",서비스업
001120,LG상사,"12,800",0.79,"496,128,000,000",유통업
006120,SK디스커버리,"26,050",0.19,"495,936,122,750",금융업
000070,삼양홀딩스,"50,900",4.2,"435,921,393,900",금융업
105630,한세실업,"10,850",2.36,"434,000,000,000",섬유의복
027410,BGF,"4,335",0.12,"414,932,288,985",금융업
019680,대교,"4,850",1.15,"410,808,822,500",서비스업
002270,롯데푸드,"358,000",0.56,"405,209,460,000",음식료품
004490,세방전지,"28,150",1.99,"394,100,000,000",전기전자
025860,남해화학,"7,890",0.75,"391,966,071,270",화학
001230,동국제강,"4,080",2.51,"389,365,566,960",철강금속
145990,삼양사,"36,200",0.98,"373,346,853,800",음식료품
093050,LF,"12,700",2.83,"371,348,000,000",섬유의복
108670,LG하우시스,"39,500",1.8,"354,222,965,000",화학
014830,유니드,"39,600",0.89,"352,037,782,800",화학
002960,한국쉘석유,"257,500",0.59,"334,750,000,000",화학
096760,JW홀딩스,"5,010",0.2,"332,925,296,550",금융업
001430,세아베스틸,"9,030",1.12,"323,834,934,570",철강금속
060980,한라홀딩스,"30,200",3.6,"316,256,514,000",금융업
025540,한국단자,"29,400",0.68,"306,201,000,000",전기전자
002240,고려제강,"15,300",0.33,"306,000,000,000",철강금속
001520,동양,"1,195",1.24,"285,227,455,285",비금속광물
006840,AK홀딩스,"21,400",1.9,"283,497,805,400",금융업
003920,남양유업,"332,500",1.22,"239,400,000,000",음식료품
003620,쌍용차,"1,520",8.57,"227,756,803,040",운수장비
079430,현대리바트,"9,440",2.16,"193,853,062,080",기타제조
298040,효성중공업,"16,500",1.85,"153,855,042,000",전기전자
